,id,uptime,ifans,gender,num_fans,fans_cat,num_videos,num_charge,av_coin,av_danmu,av_star,av_like,av_play,av_comment,av_share
312,4238285,2022-11-25,9.65,False,219000,1,615,5374,3317,559,610,3952,38000,193,34
313,7668570,2022-12-01,10.19,False,237800,1,4669,78,62,17,453,415,6836,30,80
314,35888636,2022-11-26,9.59,False,480500,1,98,323,4667,698,6950,41700,517800,291,1617
315,35167755,2022-12-02,10.4,False,319100,1,388,4537,364,312,82,1709,26100,83,34
316,2337891,2022-11-19,11.27,True,468700,1,257,1666,431,212,1311,2467,40000,83,76
317,4282930,2022-11-14,9.45,True,480300,1,276,1464,315,125,268,3566,32000,125,21
318,11133002,2022-12-01,12.64,False,429099,1,1532,2490,1772,307,645,4523,70000,136,107
319,630349613,2022-12-01,32.51,True,250300,1,3004,10,139,52,2126,8523,130700,265,2527
320,297153101,2022-11-22,10.64,False,467100,1,258,1604,336,274,784,2236,97000,158,141
321,64827416,2022-11-26,11.31,False,180200,1,145,96,23000,1818,32200,100200,1095000,1175,15800
322,132704,2022-03-07,9.85,False,496200,1,25,1789,80800,7788,36900,94200,1030200,4716,15900
323,7936287,2022-11-30,11.84,False,482700,1,152,1542,12600,1638,4407,20700,291800,1177,2241
324,165360675,2022-11-18,9.72,False,286200,1,577,3970,1105,280,139,1740,19200,121,26
325,316966244,2022-11-25,11.87,False,457500,1,366,83,252,40,2586,2479,70500,60,325
326,14519839,2022-11-09,30.79,False,107400,1,873,28700,43,53,50,1082,23600,157,123
327,30554651,2022-12-01,10.39,False,399200,1,688,411,1060,290,872,4462,101400,209,2324
328,27441982,2022-11-27,9.91,True,363500,1,340,518,1159,190,6729,7441,90500,171,164
329,2390163,2022-12-01,14.52,True,136300,1,446,305,734,138,1438,3061,79300,139,432
330,394071338,2022-10-21,10.52,False,466100,1,280,428,965,67,117,1837,15700,47,9
331,14141146,2022-12-01,10.63,False,354099,1,1198,514,393,294,247,6040,157200,339,162
332,15817819,2022-11-26,11.78,True,341300,1,177,3322,6748,616,7247,11399,145400,1034,1420
333,11978336,2022-12-01,12.59,True,210700,1,1948,25,1,0,5,60,769,3,4
334,14380285,2022-12-01,10.74,False,480100,1,1498,1087,44,39,27,702,8941,82,38
335,27501480,2022-11-18,9.87,False,251400,1,99,499,15700,982,26900,70700,562200,405,4021
336,101037051,2022-12-01,12.01,False,367200,1,1813,826,172,131,655,8978,281600,779,1828
337,125047879,2022-12-01,18.92,False,436700,1,726,5496,1101,1106,336,9081,174700,258,156
338,95667399,2022-11-27,11.04,False,180700,1,268,49,5202,595,16299,30500,458800,380,5348
339,6421869,2022-11-28,12.18,True,329099,1,120,542,14700,680,17300,73800,840400,984,10400
340,7873222,2022-11-30,9.43,False,213500,1,152,259,1796,538,2620,12000,216600,218,1133
341,401315430,2022-11-26,10.88,True,426000,1,260,3197,3131,424,1317,7604,101700,850,510
342,8564761,2022-11-25,9.52,True,432299,1,49,2405,887,974,2668,9498,145900,252,628
343,7514413,2022-11-09,12.1,False,263800,1,344,924,1685,252,1566,7346,101000,189,510
344,514273130,2022-12-01,12.72,False,400800,1,2090,2034,524,122,968,2060,18800,167,107
345,21096618,2022-10-28,9.77,False,426200,1,120,554,13700,506,28600,59500,504200,494,1861
346,583158574,2022-11-29,11.28,True,415000,1,304,2913,2311,325,422,6643,113000,226,178
347,30722154,2022-11-25,10.08,False,426100,1,680,51,271,218,1146,4780,64600,217,547
348,12691609,2022-08-18,9.67,True,380500,1,13600,47,15,7,192,263,11299,8,9
349,49688838,2021-04-03,10.77,False,173200,1,820,27,516,161,1526,3368,145200,63,2662
350,5878572,2022-11-17,13.12,False,282200,1,256,567,15100,563,19000,93300,861300,565,4045
351,327552140,2022-12-01,9.41,False,319200,1,309,3043,13100,2245,1237,21300,208800,585,225
352,308446,2022-09-09,20.99,False,182300,1,574,15000,156,42,126,1804,20299,62,228
353,281120100,2022-11-29,16.27,False,450100,1,56,67,527,194,2401,1850,54200,154,95
354,22781,2022-01-02,9.78,False,383100,1,317,3440,621,242,1220,4687,73400,173,129
355,65538469,2022-11-22,17.96,False,437000,1,574,911,256,346,589,11700,387299,951,8051
356,6881318,2022-11-24,12.94,True,483100,1,310,4616,3831,113,1626,4419,91700,293,75
