"","idx","id","uptime","ifans","gender","num_fans","fans_cat","num_videos","num_charge","av_coin","av_danmu","av_star","av_like","av_play","av_comment","av_share"
"1034",1033,"1871001",0.996515679442509,0.0849682661098592,"0",0.0597979535838802,"3",0.0270018281535649,0.0318780487804878,0.00473375963664615,0.011875,0.00746397117694155,0.00893900358617215,0.0162688013327555,0.0225363765535351,0.00876560332871013
"1035",1034,"5870268",0.995520159283225,0.252444646585764,"0",0.144994255524499,"3",0.00336380255941499,0.0355121951219512,0.0271320145819638,0.106222826086957,0.032826261008807,0.0784358486768048,0.128952264025226,0.0656666486807317,0.0456171983356449
"1036",1035,"25876945",0.994524639123942,0.116867544603171,"0",0.0682086613240992,"3",0.00608775137111517,0.103252032520325,0.0144624394908265,0.0763179347826087,0.0146437149719776,0.0327231180468013,0.0744944581504496,0.0748754474001331,0.0490915395284327
"1037",1036,"808171",0.99701343952215,0.149242314609994,"0",0.0670318252467094,"3",0.0120109689213894,0.0902439024390244,0.00367955536962888,0.0104347826086957,0.00399519615692554,0.00978241190037886,0.0197594942540273,0.0175362866238601,0.00541608876560333
"1038",1037,"5294454",0.986560477849676,0.215273614355709,"0",0.135970267011556,"3",0.00179159049360146,0.0367723577235772,0.0716548138409132,0.108709239130435,0.128302642113691,0.282709342377669,0.433496494512833,0.0891023219842084,0.153952843273232
"1039",1038,"520155988",0.986062717770035,0.109900560253044,"0",0.0854586393028205,"3",0.00179159049360146,0.026520325203252,0.0104583756648539,0.0445380434782609,0.0276200960768615,0.0252448976608352,0.0699325869293026,0.0221766578535585,0.0678224687933426
"1040",1039,"419872064",0.998506719761075,0.124247999834612,"0",0.0845636045565577,"3",0.00957952468007313,0.0124959349593496,0.00391920157772067,0.0203260869565217,0.0150520416333066,0.0164172239721383,0.0354900846717756,0.0130577888091512,0.0203675450762829
"1041",1040,"347667464",0.993031358885017,0.139835852060119,"0",0.0935189245659914,"3",0.00436928702010969,0.0278211382113821,0.00580409968326062,0.0117527173913043,0.0492393915132106,0.0372775229435175,0.10114657277252,0.0223025593985503,0.0341054091539528
"1042",1041,"50621949",0.994524639123942,0.0604080957598561,"0",0.0346652812993407,"3",0.0154113345521024,0.0293658536585366,0.000268929659953386,0.00213315217391304,0.000680544435548439,0.00291706822273626,0.00718251267717046,0.00456842748970305,0.00180305131761442
"1043",1042,"31225950",0.999004479840717,0.0599119307022803,"0",0.0436726946562644,"3",0.00477148080438757,0.00770731707317073,0.0191836490766748,0.0197146739130435,0.0320256204963971,0.0435749716895943,0.0602245654143494,0.012338351409198,0.00418169209431345
"1044",1043,"777536",0.997511199601792,0.431146761489322,"0",0.14602425939835,"3",0.0070018281535649,0.53739837398374,0.0197215083965816,0.0998097826086956,0.0266212970376301,0.0444746072247481,0.105318924611895,0.0120146045792191,0.0514840499306519
"1045",1044,"448039667",0.99701343952215,0.0691943519877613,"1",0.0423490500541297,"3",0.00840950639853748,0.0167073170731707,0.00408235223809239,0.01375,0.00624499599679744,0.0213652194154843,0.0440595110707775,0.0121764779942085,0.0127877947295423
"1046",1045,"3127528",0.999502239920358,0.127100948915673,"0",0.0476815145335704,"3",0.006654478976234,0.0170162601626016,0.00202713201458196,0.0101766304347826,0.0188070456365092,0.0321608458373302,0.0469809064340737,0.0105397579093149,0.0252427184466019
"1047",1046,"14804670",0.998506719761075,0.240453991027682,"0",0.19128156264888,"3",0.00497257769652651,0.0275447154471545,0.00717145759875695,0.0361277173913043,0.0212169735788631,0.0879944762378142,0.0839328124010986,0.023183870213493,0.0247919556171983
